compo	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022		
BaInNbOSm																													
CFeHNNiOY																			1			1							
CCdHNOPr														1					1					1					
ORuYZr			2																										
AlCGaHY																													
CHHoLaO																													
BBaGdO				1					1																		1		
BaLaOTiYb																							1						
HoINa																													
CaCrCuNdO				11																									
CrFeHoMnTi																							1			1			
AuCEuFHNOPS															5														
BiCoCuDyOSr						1																							
HNPPmS													1																
CFHNOSSiSm																					1								
BCoEr	4	1																											
CaDyEuLiOTi																									3				
BrCClCoErHNO					1																								
BaCuLaOPr		1	1		9	3			1																				
CaGeIrLa																													
CaLaMnORu					6		9	5	2												4								
BaOSeSiSm					1																								
CrCsHoO																													
BaCaCuErO		4	7		3						1																		
ClErHKMgNaOPTi															1														
CDyHNO	19	7	19	16	32	12	16	32	25	31	36	47	38	34	44	55	73	109	74	103	128	121	155	149	150	136	112		
BaCdNdSe					1																								
EuLiNbOPbTiW																	1												
LuOScTm																						1							
GdMnMoO	1																									3			
CDyHNP			1							1								1							1		1		
CeCuHIn																		4											
CeGdLaOSi																				4			1				1		
AsFMnOPr																				1									
BCHNOScSi	1								1		2	2	3	4		3			1	2	10			1					
CHIOPSSm										1																			
MgNdNiO	1																												
CHLaOPSU																											1		
AuGdMgY																										11			
BaFTmYb																4													
CDyHNS	1	3		1						1	1	1	2	1	1			2	3	3		3	2	3	5	1			
DyLaMoOW																									5				
BaHoLuOSrW																													
CFHHoNOZn																							1						
HHoKMoOW											1																		
CHLaOPSW																					1								
CdCeCuNdOSr																													
CaCeFeOY																				7	7								
AsLaMn																				1									
DyOSmSnSr																1													
AsOUYb						1																							
GeMgSY											1																		
CoKLaMnO																						1					2		
CFHLuNOTm																		1											
CHPRuY																		3											
CaErHoLaNaOTmWYb																													
BrCCeHINO																										1			
CHILaN			1		2		9	1	3	4										3	2	1							
CDyHNY										1							1					2							
AsNdRh																													
FeMoSm	1	1	2							2					6				1										
CHILaO	1	6	1	4			3	4	1			1		1	1	1		1				3		1	3				
BCClHKNPSc																										2			
CeLaOPrSm																						1			5				
CsGeOYb																								1					
FFeLaOSr					4								1			9													
CdGdOPSi																													
ClCsSc				2																				1					
CClHLiNNdSSi										1																			
MgNdNiY																	1												
AlAuY		1																											
OSUY														2															
BCHPr										1																			
CFGdHNaO											1								1				1						
GeMgSc														2															
BaEuOSbSr		1																											
CHILiNOSmU																		1											
AlCErHNNaO																											2		
AlCrGdNdOSc																			4										
InNiTb									4	1			1						2		1								
BRhRuSm																													
CeKSbSe		1																											
AlCeGePt																							1		1				
CaMnOYb							1								1						10		3						
CuEuSTb																										1			
GdOZn																				3		4		1		4	1		
FeSmTbTi	1																												
CsLiOPY																							1						
DyOSY																			6					1					
BaCuDyOSrY				1																									
ClCsSm		2																											
GeLaPb										1																			
CaEuLaNbOW																7													
AsNdRu																					1								
CGdHOTb										9	1							3	10	1	1	9	5		1		11		
GdOZr	2						5	14	2	3		3	1		3	1	1	4	1							1	1		
CClEuHLiOSi																			4										
FeGdNiOZn							4										5				3				1				
HoLuMnS											1																		
BCErHOSi				1							3																		
FGeNbNdOSrTe																										4			
BCHKOSiYb				1																									
GeLaPd	1	2		7	1							2						2			1					1			
EuNNaTe																													
GeMgSm																1													
BaLaOSrTi									7			1	4		3										1				
FLiMoOPr																									1				
BaFeOYbZr																								2					
OPVY						1							1					1	3										
GeLaRhSb													1																
InNiTm								1	8	8				1					1		1	1							
CGdHOTi															1				1			2				2			
CHIOSeYb							3													1									
DyHKNaOSi													1																
DyOSb												1		1				1	1										
CuEuSTm																										1			
AlCEuHMoNO													1																
DyOSc										1	1	1																	
CaEuFLaOSiSr																											5		
BaOPdTb																													
BaGdOPTh								1																					
BBaCaCuOSrTm					1																								
DyOSe		1																1											
BiCuEuOSr												1	1																
CoLaMnOPrSr																								6					
BeFeHo			1																										
BiCDyHNO																								1					
AlCHOPr															3												1		
NPSm																					1								
CeGaMnOSb																								1					
CdFeGdO							1																						
DyOSi				1		1								1				2											
CdSmTl																													
BiCaCuOPbSrY	8	10	6	10		3				2		1	1	9		10													
ClOYb			3																								1		
LiOTb																													
BFeGeNd																													
GeLaPr																													
CHKNOSiYb					1			1								1				1		1	1				1		
GeSSmZn																											1		
AlCGdHI																											2		
BaCuHoLuOSr																													
ErHMgOSe																													
CdCeClHO								1																					
BaOSmZn																													
GeLaPt											1		1		1		1	2		1									
BiCaCoCuOSrY				16																									
DyOSn											1																1		
FeIKPr				1																									
FeLuMn				1									4																
CFeHINOPrSi																				2									
BOPSmSr							2																			1			
MnOPrSrY	13								1																	1			
EuKLaMoO																			1							7	4		
FeLuMo	4																												
CaFeGdNiO																	1												
CoGeMnSm										5																3			
PbTb					1																1								
BaOSmZr																										5			
AlCGdHO						1					1																		
ClCsGaGeSTm															1														
CaCuFeGdOPbSr																1													
BeLuO																													
MnNaOY																	1												
CdCeCoGe																							1						
AsHKNaOWYb															1														
CoGeTbU																													
NaNiOWY																									1				
FGdNaOPSr																									1				
CCeHOPSi																						2							
CrLaMnOTe												4																	
GdSbYbZn																													
AlCaHfLuO																					1								
MnNdNi									4																				
CaEuLaLiOSrW															1														
AlCHNPSiY																							1						
CCuErHKNO																						1					1		
CeGdGeMn						5																							
AlCaOSmSnTb																											1		
BeLuU																													
AgGdH																													
CaLaMnOSb																							5						
BBiOTbZn																						3							
BiKLiNaNbOScTa															3														
CaLaMnOSc				1					2															2					
FeOTaY																								1					
PbTm		1								1											1								
CaCuHoOPbSr	2																												
CaGdHfOPPuTiU							1																						
AlBCaCsNdOSiZr														1															
GaOPr																													
CeLaLiNbO																									3				
AlBCoFeNNdV			1																										
CaDyMnSb																					1								
BaBiLaORu																			4										
BEuLa											3	1																	
ClCsSrYb																					1								
BCrEr																													
BCClHNdOSi			2	3					1		2																		
GdMnSnY																	1												
CsDyFRb																													
