	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022
BF									0.666667																0.5		
DJ													0.4														0.666667
SS	1																										
D							1																				
NC																			1								
LS														1													
CD																										1	
PF																						0.3				0.6	
BO																							0.6				
PY																									0.571429		
ER														0.5													
PG																0.5											
AF																0.5											
TD																									0.25		
TG																										0.166667	
CI															0.166667												
GP																											
ZM																											
UG																											
SO																											
SZ																											
