	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022
KE	7.73	7.00	23.43	8.16	1.50	2.82	12.20	29.29	11.35	5.54	25.09	16.36	4.35	6.68	3.02	28.49	44.35	23.87	20.60	19.83	45.36	22.04	39.42	18.75	37.35	29.75	41.78
JM	0.90	36.10	11.75	64.80	31.55	82.52	68.67	42.50	39.67	25.93	22.00	15.05	9.00	14.00	69.00	21.57	17.75	16.17	35.47	7.00	16.57	2.75	3.06	10.68	12.08	4.13	2.40
LK	6.83	3.00	11.80	3.25	24.83	7.00	17.87	10.36	7.20	3.00	8.50	23.07	10.73	6.79	5.30	1.71	6.82	6.17	3.96	16.55	9.55	9.73	6.57	22.03	17.29	10.91	27.99
CR	3.36	36.37	6.54	14.00	13.93	35.63	6.00	0.69	32.79	7.04	3.00	13.60	2.00		5.18	4.39	18.65	12.52	141.15	13.06	5.67	12.18	20.00	11.16	18.79	3.33	16.10
TZ		4.67	0.50	2.00	8.77			0.67	5.40		4.36	0.50	4.43	9.82	6.71	6.20	13.94	4.86	9.02	25.91	8.87	20.94	7.43	5.85	8.32	5.50	7.86
LY		6.00	0.20				6.80	9.67	4.33		16.67	4.08	20.72	37.33	43.51	16.33	13.96	15.28	3.27	7.50	17.07	15.20	19.57	6.33	23.47	32.78	11.28
ET	4.48	4.00	4.67	1.40	3.00	2.67	8.80			4.25	0.75	11.60	0.62	12.53	9.00	5.08	9.00	1.50	14.33	4.93	7.17	14.63	17.00	8.67	56.57	48.29	69.85
TT	8.96	1.50	1.90	21.57	22.75	28.67	12.57	8.00	15.61	0.67		13.67	0.67	14.33	22.92	63.14	14.50	6.96	54.89	16.11	22.50	50.03	30.37	0.14	0.67	10.00	5.60
BW	1.17	25.17	9.85	16.10	14.83	26.75	23.80	25.00	18.19	11.19	67.00		23.05	30.07	24.53	24.93	14.35	12.03	32.76	9.37	14.67	0.28	3.33	0.76	16.31	8.75	15.05
YE	7.50		33.00	2.50	1.17	4.40			15.53	2.00	7.13	13.87	26.07	40.33	11.17	1.75	15.42	6.00	36.97	7.00	13.94	22.13	12.00	15.75	21.18	20.54	27.10
PH	3.67	6.14	12.20	5.09	9.00	6.23	8.57	3.89	1.00	3.52	2.00		8.97	2.85	17.03	23.93	16.36	16.37	54.64	4.97	4.80	58.08	22.08	8.13	33.21	21.23	14.28
MU		3.00		11.00	14.00			17.00	17.00			0.75	8.00	28.00	68.73	7.00	26.15	20.40	5.29	41.98	28.60	19.45	15.59	12.82	2.69	16.54	7.88
CI		0.14	1.33	1.36	2.85	0.50	5.20	1.95	2.90	5.83	13.15	3.33	2.10	3.40	1.98	7.32	10.57		35.25	15.48	40.47	25.48	6.96	11.61	17.83	4.60	71.80
SN	1.00		0.62		0.83	1.37		9.58	3.24	1.13	3.00	2.50		5.21	0.62	11.14	24.70	13.60	19.86	9.78	7.02	75.66	27.96	9.14	36.22	1.66	12.96
SS	14.00																										
PE	1.50		5.60	0.83	5.17	13.67	6.35	8.17	6.55	8.77	6.47		26.53	3.30	31.08	18.62	5.93	15.91	1.91	6.97	17.07	5.30	5.21	6.20	9.61	6.60	22.93
MK	21.67	24.50	6.00	35.37	19.83	21.13	11.60	19.00	4.73	0.60	5.50	15.40	12.40	2.25		1.25	0.31		6.07	0.25	2.00	2.97		2.27	1.00	0.42	2.40
PA		2.37	7.02		15.15	6.92	2.73	27.49	17.73	13.14	13.29	13.88	9.17	1.93		5.28	5.75	3.65	8.10	3.33	22.64	3.13	11.16	4.02	7.84	18.56	9.59
BO	0.79	1.11	8.71	1.88		23.00	0.45	2.25	0.33	4.80	4.33	2.50	18.76	4.67	6.77	3.38	17.00		4.25	8.79	11.00	1.85	2.80	13.33	40.03	11.76	8.63
NP		0.80			2.40	2.14	1.29	1.33	2.40	2.00	1.80	0.60	114.00	1.33	3.17	0.25	0.22	2.34	9.08	10.66	5.37	5.58		7.40	18.38	27.54	28.88
EC	2.00	1.40	7.00			4.00	0.20	9.50					2.17	0.25	4.00	0.56	33.00		7.53	36.78	7.78	17.90	11.40	8.98	8.16	54.77	17.48
LU						1.00	1.83	2.25	7.20		12.20	14.50	12.87	22.50	10.08	1.11	10.70	18.51	26.63	40.89	15.39	7.06	8.26	4.90	8.00	8.91	9.75
SD	2.33	1.00	0.50				0.50		0.53	3.13	1.25		0.20	1.07	5.53	10.27	24.30	6.42	15.42	21.98	7.43	16.00	9.00	14.96	2.49	31.20	27.32
BH	5.00	19.00	15.50		4.00				1.00				3.00	8.00	1.00		11.20	1.38	4.50	0.29	2.33	2.00	21.87	9.63	5.66	11.41	16.87
BN	11.44	0.80	2.47	0.67		5.90		3.27	7.65	6.45	5.45	0.60	2.75	6.00	3.25	24.67	35.98	4.33	6.87	8.23	3.43	5.50		0.45		5.43	4.66
GH	5.78	2.13	4.00	3.03	4.42		2.67	0.08	1.73		1.39			11.00	31.00				8.82	9.74	18.10	9.56	5.18	3.90	14.50	12.11	12.10
BA							0.71	0.20	0.75	0.14	1.25	0.25				4.94		13.56	0.67	13.89	4.33	10.54	18.44	5.80	10.96	19.35	27.19
LI			2.00	12.00	1.20			0.50	41.00		57.20			0.50	6.33		5.00	1.00	25.73	0.50	0.13	17.29	0.87		0.77	3.35	0.20
PY	1.33		6.08	2.00	1.33	3.50	3.00	1.29		19.30	4.17		8.30	3.85	1.40	3.00	20.33	16.80	22.71	8.09	2.92	14.21	1.17	7.58	8.74	3.94	15.61
NC	7.33	0.25	6.87	7.25	0.60	8.51	2.23	1.13	0.57			19.67	0.25	0.50	3.60	1.00	1.10	0.36	6.44	5.54	4.19	35.51	3.33	0.20	7.99		1.00
MG	1.25	1.42	5.46	8.56	5.10	4.67	6.98	11.33	1.45	6.00	3.25	6.17	4.93	5.45	11.74	6.72	9.32	6.07	6.25	10.85	13.27	13.26	1.29	5.25	1.55	14.19	1.96
MN	3.37	4.43		0.33	1.20	10.32	12.61	15.46					1.71	2.08	2.57	5.08	2.03	3.30	2.99	4.05	12.35	12.15	6.74	7.52	18.39	13.55	2.83
