compo	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022		
AsAuCFHNSb																			3				1			3	1		
CCdClCoCuHNO												1																	
AlCTa											3			2		3													
AsCCrHMoO																													
AuCNY					1																								
CCsGeNNd																						1							
CHNNiOSiZn		1																											
AlCCeHSi																						1					1		
CFHMoNOPRuS																				1									
CClCrHNSZn																										1			
AgCClFHIrPPt						1																							
BaCHNOSiSn																									1				
AlCTh	2																												
CClFHOPPtSSb																						1							
AlCTi	1				2							1			2		1				1				1				
BCClFeHNORh											2																		
CCoErHOP																								1					
CClFHOPPtSSe															1														
CFHNNiOP	3	6	12	22	15	10	7	28	29	19	14	27	11	24	46	26	35	23	22	27	9	34	27	34	24	39	22		
CCeCoFHOP																					1								
AgCFeHNNaO																									2				
AgAuCClFFeHP																							3						
CFHNNiOS	2	3	4	5	11	10	3	8	17	10	2	3	9	21	14	11	24	22	20	25	32	33	25	34	47	23	16		
AuBrCClFHINPSb																							2						
CHKMnNOP																				1			7	3					
CFHNNiOV																													
CClOZn					2																								
CHKMnNOS							1						1											1					
AuCNi													1																
AgAuCClFeHPS																									1				
CClHMoNOPSSb						2																							
CHINOPSm	1	1	2	1												1							3						
CClHHfNOPSi					1		1																						
CFHNNiOY			1															1											
AuCClFFeHPSb																											3		
CHINOPSn					1																								
CClCrGeHN																								1					
BiCHORuW														2															
CCuHIMgO													1				1												
CHKMnNOW									4																				
CClCrGeHO															1										2				
CCuOTi																													
CClHMoNOPSSe					1																								
CCuFeHIPRu			2																										
CClFKNV								1																					
BCHNOPRuSSi		1																					2						
BBrCClHNSW																									1				
CClHMoNOPSSn					5	2																							
AgCLaN										1																			
CClCrHMoOP		1																							1				
AuBCClHOPSe								1																					
AuCClFeHNPZn																								2					
CMnNNaRb					1																								
CCuFHNOPPdS												2											2						
CFHPbSe									1																				
BBrCHIrNPSi														2															
CHOPPtSnTe																													
BCClHNPtSW						1																							
CKNO																													
CClHNOReSZn														2		2													
BeCClHOZr			1																										
BBrCClHIrNNi	1																												
CClHHgNOPdTe																			1										
AgAuCClFHOPS																	1		1										
BCReTb				1																									
CFeIOP																													
BiCClFHNOP																										2			
CKNV											2																		
BBrCFHNOPRuW																											1		
CKNW																													
AuCClFeHNOPSe					1									1															
CClCuFFeHNOPS																							2		1		1		
CFeIOS																													
BrCClCoErHNO					1																								
AsCHINSiZr										1																			
BiCClFHNOS				1												1	2		1							2	9		
CHNNeNi																										1			
BCFHKOP																4			3							2			
BBrCClHNSn	5			2																									
BrCClHINOPRh																													
CClCuFeHMoOPS										1	1																		
BBrCCoHNNaOP																													
BCClHNPtSi														2		3													
CKNa									1																				
BCClFHSW																													
CCoHORhSe																													
CHPtSb											5																		
AuBiCFHOPS																						1							
BCClHNPtSn				1	1																								
