	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022
QA	2.33	29.07	32.58	15.33	7.77	9.00			11.50	2.00	2.00	17.25	22.93	8.75	29.37	21.83	54.48	37.14	81.67	53.24	77.88	45.63	19.06	19.65	33.84	77.74	18.35
KE	7.73	6.50	23.43	8.16	1.30	2.82	12.20	29.29	11.35	5.38	22.09	12.21	2.10	6.68	3.02	28.49	44.35	23.87	20.60	19.54	45.36	22.04	39.42	18.55	33.93	29.59	41.78
JM	0.90	35.95	11.75	59.80	31.55	82.52	66.67	42.50	39.00	24.33	22.00	15.05	9.00	14.00	69.00	21.57	17.75	16.17	35.47	7.00	15.77	2.75	3.06	10.68	12.08	3.42	2.40
CR	3.36	34.62	6.54	14.00	13.93	35.50	6.00	0.69	31.29	7.04	3.00	13.60	1.00		4.61	4.39	18.65	11.14	132.15	11.86	5.67	11.75	20.00	11.16	18.79	3.33	16.10
LK	6.83	3.00	11.80	3.25	23.17	7.00	16.33	10.36	6.70		8.50	22.67	8.23	6.62	4.50	1.71	6.82	6.17	3.71	16.22	9.55	8.73	6.57	21.03	17.17	10.81	27.99
TJ	30.00		8.00	32.00	23.60	1.00				14.00	8.00	12.00	13.00	0.60	10.20	12.00		14.13	2.00	6.00	15.79	5.54	6.32	8.42	34.45	20.00	
TZ		4.67	0.50	1.00	7.77			0.67	5.40		4.36	0.50	4.43	9.82	6.71	6.20	13.94	4.86	3.22	25.91	8.87	16.94	7.43	5.85	8.32	5.50	7.86
TT	8.96	1.50	1.90	21.57	22.75	28.67	12.57	8.00	15.61			12.67	0.67	14.33	22.92	63.14	14.25	6.96	54.89	16.11	22.50	50.03	30.37	0.14	0.67	10.00	5.60
BW	1.17	25.17	9.85	16.10	14.83	26.75	21.80	25.00	18.19	11.19	67.00		23.05	29.07	24.53	24.93	14.35	12.03	32.76	9.37	14.67	0.28	3.33	0.63	16.31	8.75	15.05
ET	4.48	4.00	4.67	1.40	3.00	2.33	8.80			4.25		11.60	0.62	12.53	9.00	5.08	9.00	1.50	14.33	4.93	7.17	14.63	17.00	5.02	56.05	47.79	65.26
LY		6.00					6.80	9.67	4.33		16.67	3.75	20.72	37.33	42.80	15.83	13.96	15.03	3.27	7.50	17.07	15.20	19.57	6.33	23.47	32.78	11.28
PH	3.67	6.14	3.00	5.09	8.75	2.23	7.07	3.77	1.00	2.75			8.97	2.85	17.03	22.93	16.36	16.10	54.64	4.97	4.80	58.08	22.08	7.49	31.44	20.89	13.91
YE	7.50		33.00		1.00	4.40			15.53	1.00	4.33	11.50	23.33	36.83	5.00	1.75	10.08	4.00	29.97	7.00	13.94	22.13	12.00	15.75	21.18	20.54	26.10
CI		0.14	1.17	0.36	2.85		5.20	0.95	2.40	5.83	12.49		2.10	1.00	1.98	7.32	10.57		35.25	15.23	40.47	23.48	6.71	10.94	17.83	3.60	70.55
MU				11.00	14.00				17.00			0.75		4.67	62.07		26.15	20.40	5.29	41.98	28.60	19.45	14.92	12.82	2.69	16.54	7.88
SS	14.00																										
SN	1.00		0.62		0.50	1.37		9.42	3.24	1.13	3.00	2.50		4.50	0.51	11.14	24.70	13.60	19.86	9.78	6.77	75.66	27.96	9.14	36.22	1.66	12.76
PA		2.37	7.02		15.15	6.92	2.73	27.49	17.73	13.14	13.29	13.88	9.17	1.93		5.28	5.75	3.65	8.10	3.33	22.64	3.13	11.16	4.02	7.84	18.56	9.59
PE	1.00		5.60	0.83	5.17	12.00	5.60	8.17	2.50	8.57	0.50		26.53	2.80	30.00	18.62	5.93	15.28	1.91	5.42	11.36	5.30	5.21	5.98	9.61	4.20	17.59
